trial_code,time_until_predator_arrival_s,time_since_start_of_trial_s,treatment,site,transition_type,num_fish_present_after_transition
FF,99,0,Predator,W,1,3
FF,98,1,Predator,W,-1,2
FF,97,2,Predator,W,-1,1
FF,87,12,Predator,W,1,2
FF,83,16,Predator,W,-1,1
FF,83,16,Predator,W,1,2
FF,72,27,Predator,W,1,3
FF,71,28,Predator,W,1,4
FF,71,28,Predator,W,1,5
FF,67,32,Predator,W,1,6
FF,66,33,Predator,W,-1,5
FF,65,34,Predator,W,-1,4
FF,60,39,Predator,W,-1,3
FF,54,45,Predator,W,1,4
FF,50,49,Predator,W,-1,3
FF,49,50,Predator,W,-1,2
FF,43,56,Predator,W,-1,1
FF,36,63,Predator,W,-1,0
FF,26,73,Predator,W,1,1
FF,26,73,Predator,W,1,2
FF,23,76,Predator,W,1,3
FF,19,80,Predator,W,1,4
FF,19,80,Predator,W,1,5
FF,19,80,Predator,W,1,6
FF,18,81,Predator,W,-1,5
FF,16,83,Predator,W,-1,4
FF,9,90,Predator,W,-1,3
FF,6,93,Predator,W,1,4
FF,4,95,Predator,W,-1,3
FF,2,97,Predator,W,-1,2
FF,1,98,Predator,W,-1,1
GG,98,1,Predator,W,-1,1
GG,90,9,Predator,W,1,2
GG,80,19,Predator,W,1,3
GG,76,23,Predator,W,1,4
GG,71,28,Predator,W,1,5
GG,61,38,Predator,W,-1,4
GG,59,40,Predator,W,-1,3
GG,54,45,Predator,W,1,4
GG,49,50,Predator,W,-1,3
GG,42,57,Predator,W,1,4
GG,37,62,Predator,W,1,5
GG,36,63,Predator,W,-1,4
GG,31,68,Predator,W,1,5
GG,23,76,Predator,W,-1,4
GG,20,79,Predator,W,-1,3
GG,17,82,Predator,W,1,4
GG,12,87,Predator,W,-1,3
GG,12,87,Predator,W,1,4
HH,97,2,Predator,E,-1,6
HH,96,3,Predator,E,-1,5
HH,94,5,Predator,E,-1,4
HH,85,14,Predator,E,-1,3
HH,83,16,Predator,E,-1,2
HH,80,19,Predator,E,-1,1
HH,77,22,Predator,E,1,2
HH,68,31,Predator,E,1,3
HH,66,33,Predator,E,-1,2
HH,62,37,Predator,E,1,3
HH,61,38,Predator,E,-1,2
HH,59,40,Predator,E,-1,1
HH,57,42,Predator,E,-1,0
HH,48,51,Predator,E,1,1
HH,46,53,Predator,E,1,2
HH,45,54,Predator,E,1,3
HH,44,55,Predator,E,1,4
HH,36,63,Predator,E,1,5
HH,34,65,Predator,E,1,6
HH,22,77,Predator,E,-1,5
HH,21,78,Predator,E,-1,4
HH,17,82,Predator,E,-1,3
HH,17,82,Predator,E,-1,2
HH,17,82,Predator,E,-1,1
HH,14,85,Predator,E,-1,0
II,97,2,Predator,E,-1,1
II,76,23,Predator,E,1,2
II,74,25,Predator,E,1,3
II,66,33,Predator,E,1,4
II,66,33,Predator,E,-1,3
II,66,33,Predator,E,-1,2
II,66,33,Predator,E,-1,1
II,59,40,Predator,E,1,2
II,49,50,Predator,E,1,3
II,48,51,Predator,E,-1,2
II,43,56,Predator,E,1,3
II,27,72,Predator,E,-1,2
II,10,89,Predator,E,-1,1
II,10,89,Predator,E,-1,0
JJ,98,1,Predator,W,-1,3
JJ,93,6,Predator,W,-1,2
JJ,91,8,Predator,W,-1,1
JJ,87,12,Predator,W,1,2
JJ,77,22,Predator,W,1,3
JJ,34,65,Predator,W,-1,2
JJ,25,74,Predator,W,1,3
JJ,2,97,Predator,W,1,4
JJ,0,99,Predator,W,-1,3
JJ,0,99,Predator,W,-1,2
KK,97,2,Predator,W,1,6
KK,93,6,Predator,W,-1,5
KK,90,9,Predator,W,1,6
KK,89,10,Predator,W,1,7
KK,86,13,Predator,W,1,8
KK,84,15,Predator,W,-1,7
KK,78,21,Predator,W,-1,6
KK,77,22,Predator,W,1,7
KK,77,22,Predator,W,1,8
KK,77,22,Predator,W,-1,7
KK,77,22,Predator,W,-1,6
KK,76,23,Predator,W,-1,5
KK,76,23,Predator,W,-1,4
KK,76,23,Predator,W,-1,3
KK,75,24,Predator,W,-1,2
KK,68,31,Predator,W,1,3
KK,67,32,Predator,W,1,4
KK,66,33,Predator,W,1,5
KK,64,35,Predator,W,-1,4
KK,63,36,Predator,W,1,5
KK,61,38,Predator,W,1,6
KK,61,38,Predator,W,1,7
KK,60,39,Predator,W,-1,6
KK,59,40,Predator,W,-1,5
