simulation_type,fish_per_m2,sd_fish_per_m2,lambda_value,mean_kg_C_per_ha,lower_kg_C_per_ha,upper_kg_C_per_ha,scaled_value_of_lambda,per_capita_kg_C_per_day,per_capita_kg_N_per_day
coupled,0.043618754,0.08651588,0.01368,1.418807959,0.807622837,2.19940258,0.12,0.002658699,9.11E-05
coupled,0.091461854,0.129633294,0.02679,2.975023229,1.693461532,4.611810729,0.235,0.00284675,9.75E-05
coupled,0.144403058,0.166310745,0.0399,4.697066953,2.673694148,7.28128223,0.35,0.003017765,0.000103348
coupled,0.205191861,0.204268783,0.05301,6.674373262,3.799228947,10.34645576,0.465,0.003227634,0.000110535
coupled,0.266549815,0.235098941,0.06612,8.670192617,4.935301858,13.44032778,0.58,0.003361457,0.000115118
coupled,0.333373773,0.266569598,0.07923,10.84380728,6.172580541,16.80981388,0.695,0.003508518,0.000120155
coupled,0.401410957,0.294237721,0.09234,13.05688513,7.432322704,20.24047488,0.81,0.003624777,0.000124136
coupled,0.472672359,0.322711752,0.10545,15.37483865,8.751762861,23.83371167,0.925,0.003737624,0.000128001
coupled,0.519516636,0.337654558,0.114,16.89856473,9.619107854,26.19575584,1,0.003799939,0.000130135
coupled,0.543261953,0.346123034,0.11856,17.67093995,10.05876416,27.39307366,1.04,0.003820789,0.000130849
coupled,0.616750923,0.370793142,0.13167,20.06135063,11.41944884,31.09863183,1.155,0.003905755,0.000133759
coupled,0.691222087,0.393604454,0.14478,22.4837096,12.79831933,34.85371549,1.27,0.003980989,0.000136335
coupled,0.764521078,0.414183751,0.15789,24.86794075,14.15548646,38.54969429,1.385,0.00403754,0.000138272
coupled,0.836053461,0.433650643,0.171,27.19470859,15.47994396,42.15659483,1.5,0.004076805,0.000139617
coupling_off,0.019599856,0.040411837,0.01368,0.637533839,0.362901042,0.988289896,0.12,0.001194672,4.09E-05
coupling_off,0.038398134,0.056606512,0.02679,1.248994369,0.710960471,1.936161565,0.235,0.001195142,4.09E-05
coupling_off,0.05736858,0.069188613,0.0399,1.866055089,1.062207676,2.892714517,0.35,0.001198901,4.11E-05
coupling_off,0.076762068,0.079920467,0.05301,2.496876298,1.421287712,3.870598652,0.465,0.001207455,4.14E-05
coupling_off,0.0945824,0.088979374,0.06612,3.076526713,1.751239987,4.769159033,0.58,0.001192778,4.08E-05
coupling_off,0.113553107,0.097082264,0.07923,3.693595923,2.102492024,5.725725145,0.695,0.001195065,4.09E-05
coupling_off,0.132774835,0.105286038,0.09234,4.318830212,2.458391839,6.69494857,0.81,0.001198969,4.11E-05
coupling_off,0.15188946,0.112557732,0.10545,4.940580711,2.812308589,7.658771506,0.925,0.001201055,4.11E-05
coupling_off,0.163859539,0.116898349,0.114,5.329937165,3.033940531,8.262342682,1,0.00119853,4.10E-05
coupling_off,0.170159837,0.118954195,0.11856,5.534869954,3.150593669,8.580024652,1.04,0.001196743,4.10E-05
coupling_off,0.188707194,0.125243906,0.13167,6.138168658,3.494007171,9.515244049,1.155,0.001195043,4.09E-05
coupling_off,0.207012338,0.131660643,0.14478,6.733588783,3.83293598,10.43825026,1.27,0.001192256,4.08E-05
coupling_off,0.226521532,0.137209975,0.15789,7.368173616,4.194158371,11.42196868,1.385,0.001196291,4.10E-05
coupling_off,0.245336414,0.14289704,0.171,7.980174232,4.542525231,12.37067758,1.5,0.001196321,4.10E-05
